转换注：
该NPK辞典条目格式根据COLG精灵-传说纯手动改编
用于恋恋のEx的NPK辞典中查询使用
若有补充，请联系原作者，并通过原作者联系我进行修订（也可以自己修订）
BY-乘着歌声的翅膀2018.6.19
--------------------------------------------------------
使用方法：
在恋恋のEx的输出目录（默认为软件同目录下的output文件夹下），
找到npkdict.txt，将此文件替换即可。
恋恋のEx的NPK辞典可在主界面中特殊工具菜单中找到。
--------------------------------------------------------
原作者注：
有什么代码可以提供，我QQ是1289309989，论坛名称：精灵-传说
也欢迎加入补丁群进行讨论，群号334906062，
代码表持续更新中
更新于2018.6.19
--------------------------------------------------------
sprite_character_demonicswordsman.NPK,(黑暗武士)空的
sprite_character_mage_effect_creatorcreatespace.NPK,(缔造者)创世：世界之树
sprite_character_mage_effect_creatorfamiliar.NPK,(缔造者)终日之梅米特
sprite_character_mage_effect_creatorfiremeteo.NPK,(缔造者)炽炎星陨
sprite_character_mage_effect_creatoriceage.NPK,(缔造者)冰雪降临
sprite_character_mage_effect_creatoriceshield.NPK,(缔造者)极冰护盾
sprite_character_mage_effect_creatorlink.NPK,(缔造者)时空链接
sprite_character_mage_effect_creatormagicairball.NPK,(缔造者)魔法弹珠特效,
sprite_character_mage_effect_creatormagicsphere.NPK,(缔造者)对应技能的鼠标
sprite_character_mage_effect_creatorrange.NPK,(缔造者)缔造者脚下范围
sprite_character_mage_effect_creatortimeforward.NPK,(缔造者)時空禁制·梅米特
sprite_character_mage_effect_creatortimeforward_cursor.NPK,(缔造者)時空禁制·怀表
sprite_character_mage_effect_creatortimeforward_hold.NPK,(缔造者)时空禁制其中一部份特效
sprite_character_mage_effect_creatortimeforward_time.NPK,(缔造者)时空禁制,的米梅特变身
sprite_character_mage_effect_creatorwindstorm.NPK,(缔造者)风暴漩涡
sprite_character_mage_effect_creatorwoodfence.NPK,(缔造者)树之屏障
sprite_character_gunblader_equipment_avatar_belt.NPK,(枪剑士)腰部
sprite_character_gunblader_equipment_avatar_cap.NPK,(枪剑士)帽子
sprite_character_gunblader_equipment_avatar_coat.NPK,(枪剑士)上衣
sprite_character_gunblader_equipment_avatar_face.NPK,(枪剑士)脸部
sprite_character_gunblader_equipment_avatar_hair.NPK,(枪剑士)头发
sprite_character_gunblader_equipment_avatar_neck.NPK,(枪剑士)胸部
sprite_character_gunblader_equipment_avatar_pants.NPK,(枪剑士)裤子
sprite_character_gunblader_equipment_avatar_shoes.NPK,(枪剑士)鞋子
sprite_character_gunblader_equipment_avatar_skin.NPK,(枪剑士)皮肤
sprite_character_gunblader_equipment_weapon_lblade.NPK,(枪剑士)长刀
sprite_character_gunblader_equipment_weapon_mswd.NPK,(枪剑士)重剑
sprite_character_gunblader_equipment_weapon_sblade.NPK,(枪剑士)小太刀
sprite_character_gunblader_equipment_weapon_coreswd.NPK,(枪剑士)源力剑
sprite_character_gunblader_equipment_custom_subweapon.NPK,(枪剑士)枪
sprite_character_gunblader_equipment_growtype.NPK,(枪剑士)职业特征
sprite_character_gunblader_effect.NPK,(枪剑士)技能特效
sprite_character_gunblader_effect_cutin.NPK,(枪剑士)二觉立绘
sprite_item_new_equipment_01_weapon_gunblader_sblade.NPK,(枪剑士)小太刀图标
sprite_item_new_equipment_01_weapon_gunblader_mswd.NPK,(枪剑士)重剑图标
sprite_item_new_equipment_01_weapon_gunblader_lblade.NPK,(枪剑士)长刀图标
sprite_item_new_equipment_01_weapon_gunblader_coreswd.NPK,(枪剑士)源力剑图标
sprite_character_gunblader_effect_angleshoot.NPK,(枪剑士)穿透射击
sprite_character_gunblader_effect_crescentmoonslash.NPK,(枪剑士)弧月斩
sprite_character_gunblader_effect_hopslash.NPK,(枪剑士)重劈
sprite_character_gunblader_effect_deadlift.NPK,(枪剑士)浮空连斩
sprite_character_gunblader_effect_neckbreaking.NPK,(枪剑士)瞬击
sprite_character_gunblader_effect_gbomb.NPK,(枪剑士)G型手榴弹
sprite_character_gunblader_effect_beamslash.NPK,(枪剑士)源光斩
sprite_character_gunblader_effect_romandash.NPK,(枪剑士)迅步突袭
sprite_character_gunblader_effect_continuousfire.NPK,(枪剑士)连续射击
sprite_character_gunblader_effect_coreshield.NPK,(枪剑士)源能护盾
sprite_character_gunblader_effect_specter5.NPK,(枪剑士)暗刃普攻
sprite_character_gunblader_effect_suddenstrike.NPK,(枪剑士)掩护射击
sprite_character_gunblader_effect_cuveringfire.NPK,(枪剑士)掩护射击·调用
sprite_character_gunblader_effect_rapidmove.NPK,(枪剑士)捷影步
sprite_character_gunblader_effect_dead6.NPK,(枪剑士)轮盘连射
sprite_character_gunblader_effect_suprisecut.NPK,(枪剑士)剑刃突刺
sprite_character_gunblader_effect_suddenstrike.NPK,(枪剑士)潜行射击
sprite_character_gunblader_effect_billdrill.NPK,(枪剑士)利刃旋斩
sprite_character_gunblader_effect_massedfire.NPK,(枪剑士)游弹枪袭
sprite_character_gunblader_effect_tacticscommand.NPK,(枪剑士)战术指挥
sprite_character_gunblader_effect_alphastrike.NPK,(枪剑士)全方位射击
sprite_character_gunblader_effect_gbomb.NPK,(枪剑士)全方位射击·调用
sprite_character_gunblader_effect_caracole.NPK,(枪剑士)回旋飞剑
sprite_character_gunblader_effect_pointblank.NPK,(枪剑士)枪刃乱舞
sprite_character_gunblader_effect_rampage.NPK,(枪剑士)枪刃乱舞·调用
sprite_character_gunblader_effect_thelastattack.NPK,(枪剑士)血光斩
sprite_character_gunblader_effect_blitzkrieg.NPK,(枪剑士)电光飞掠
sprite_character_gunblader_effect_pointblank.NPK,(枪剑士)电光飞掠·调用
sprite_character_gunblader_effect_pointblank.NPK,(枪剑士)近敌灭杀
sprite_character_gunblader_effect_helixdive.NPK,(枪剑士)大回旋坠斩
sprite_character_gunblader_effect_doublehalfmoonslash.NPK,(枪剑士)双弧斩
sprite_character_gunblader_effect_moonlightslash.NPK,(枪剑士)月光挥斩
sprite_character_gunblader_effect_missionstart.NPK,(枪剑士)特工使命
sprite_character_gunblader_effect_sightingshot.NPK,(枪剑士)精准射击
sprite_character_gunblader_effect_fullmoonlightslash.NPK,(枪剑士)满月斩
sprite_character_gunblader_effect_darkmoonstep.NPK,(枪剑士)月影秘步
sprite_character_gunblader_effect_targetingfire.NPK,(枪剑士)锁定射击
sprite_character_gunblader_effect_bladefalcon.NPK,(枪剑士)枪刃旋杀
sprite_character_gunblader_effect_keyfigureassassination.NPK,(枪剑士)嗜血绝杀,
sprite_character_gunblader_effect_catchtarget.NPK,(枪剑士)终极锁定
sprite_character_gunblader_effect_moonlightslash.NPK,(枪剑士)月相轮舞·调用
sprite_character_gunblader_effect_moonphase.NPK,(枪剑士)月相轮舞
sprite_character_gunblader_effect_rollingmove.NPK,(枪剑士)双重散射、矫捷翻滚
sprite_character_gunblader_effect_breakshot.NPK,(枪剑士)爆裂斩击
sprite_character_gunblader_effect_swordbomb.NPK,(枪剑士)剑刃爆弹
sprite_character_gunblader_effect_theveteran.NPK,(枪剑士)充能特饮（红牛维生素功能饮料（笑））
sprite_character_gunblader_effect_diffusionbust.NPK,(枪剑士)广域散射
sprite_character_gunblader_effect_gbomb.NPK,(枪剑士)G型火焰爆弹
sprite_character_gunblader_effect_gctf.NPK,(枪剑士)G型火焰爆弹·调用文件
sprite_character_gunblader_effect_burntoslash.NPK,(枪剑士)爆裂斩
sprite_character_gunblader_effect_opression.NPK,(枪剑士)爆弹罗网
sprite_character_gunblader_effect_distroublequake.NPK,(枪剑士)裂地爆刃
sprite_character_gunblader_effect_suprisepresent.NPK,(枪剑士)惊喜大礼
sprite_character_gunblader_effect_gwidow.NPK,(枪剑士)G型烬灭榴弹
sprite_character_gunblader_effect_perfactbeating.NPK,(枪剑士)完美击球
sprite_character_gunblader_effect_rotationwave.NPK,(枪剑士)旋转源能波
sprite_character_gunblader_effect_specialisthiteffect.NPK,(枪剑士)旋转源能波·调用
sprite_character_gunblader_effect_taser.NPK,(枪剑士)镭射源能枪
sprite_character_gunblader_effect_squarely.NPK,(枪剑士)源能波刃
sprite_character_gunblader_effect_exocet.NPK,(枪剑士)能量飞鱼弹
sprite_character_gunblader_effect_corepraxis.NPK,(枪剑士)源能应用
sprite_character_gunblader_effect_electricpillar.NPK,(枪剑士)脉冲斩
sprite_character_gunblader_effect_emission.NPK,(枪剑士)电磁领域
sprite_character_gunblader_effect_attractammunition.NPK,(枪剑士)引力源光弹
sprite_character_gunblader_effect_lightingslash.NPK,(枪剑士)光裂斩
sprite_character_gunblader_effect_divideearth.NPK,(枪剑士)光导裂地斩
sprite_character_gunblader_effect_burstfield.NPK,(枪剑士)超能场域
sprite_character_gunblader_effect_energybounce.NPK,(枪剑士)能量禁锢
sprite_character_gunblader_effect_dispersion.NPK,(枪剑士)离散能量波
sprite_character_demoniclancer_equipment_avatar_belt.NPK,(魔枪士)腰部
sprite_character_demoniclancer_equipment_avatar_cap.NPK,(魔枪士)帽子
sprite_character_demoniclancer_equipment_avatar_coat.NPK,(魔枪士)上衣
sprite_character_demoniclancer_equipment_avatar_face.NPK,(魔枪士)脸部
sprite_character_demoniclancer_equipment_avatar_hair.NPK,(魔枪士)头发
sprite_character_demoniclancer_equipment_avatar_neck.NPK,(魔枪士)胸部
sprite_character_demoniclancer_equipment_avatar_pants.NPK,(魔枪士)裤子
sprite_character_demoniclancer_equipment_avatar_shoes.NPK,(魔枪士)鞋子
sprite_character_demoniclancer_equipment_avatar_skin.NPK,(魔枪士)皮肤
sprite_character_demoniclancer_equipment_weapon_halberd.npk,(魔枪士)战戟
sprite_character_demoniclancer_equipment_weapon_pike.npk,(魔枪士)长矛
sprite_character_demoniclancer_equipment_weapon_javelin.NPK,(魔枪士)暗矛
sprite_character_demoniclancer_equipment_weapon_beamspear.NPK,(魔枪士)光枪
sprite_character_demoniclancer_equipment_growtype.NPK,(魔枪士)职业特征
sprite_character_demoniclancer_effect.NPK,(魔枪士)技能图标，技能通用图层
sprite_character_demoniclancer_effect_ghost.NPK,(魔枪士)攻城失败后的灵魂状态
sprite_character_demoniclancer_effect_cutin.NPK,(魔枪士)二觉立绘
sprite_item_new_equipment_01_weapon_demoniclancer_javelin.NPK,(魔枪士)暗矛图标
sprite_item_new_equipment_01_weapon_demoniclancer_halberd.NPK,(魔枪士)战戟图标
sprite_item_new_equipment_01_weapon_demoniclancer_beamspear.NPK,(魔枪士)光枪图标
sprite_item_new_equipment_01_weapon_demoniclancer_pike.NPK,(魔枪士)长矛图标
sprite_character_demoniclancer_effect_demoniclancerelease.NPK,(魔枪士)不灭战戟
sprite_character_demoniclancer_effect_behead.NPK,(魔枪士)破灭斩
sprite_character_demoniclancer_effect_brandish.NPK,(魔枪士)追魂斩
sprite_character_demoniclancer_effect_headoncharge.NPK,(魔枪士)破军突击
sprite_character_demoniclancer_effect_bladestorm.NPK,(魔枪士)夺命乱舞
sprite_character_demoniclancer_effect_devastate.NPK,(魔枪士)横扫八荒
sprite_character_demoniclancer_effect_burstslash.NPK,(魔枪士)断魂裂岩斩
sprite_character_demoniclancer_effect_crescentslash.NPK,(魔枪士)落月斩
sprite_character_demoniclancer_effect_deadlymassacre.NPK,(魔枪士)破灭轮回刺
sprite_character_demoniclancer_effect_demonicinferno.NPK,(魔枪士)血战天狱
sprite_character_demoniclancer_effect_doomglaive.NPK,(魔枪士)穿云裂地斩
sprite_character_demoniclancer_effect_dreadbore.NPK,(魔枪士)冷血突刺
sprite_character_demoniclancer_effect_smash.NPK,(魔枪士)霸王戟
sprite_character_demoniclancer_effect_youdied.NPK,(魔枪士)千魂弑
sprite_character_demoniclancer_effect_impactsmash.NPK,(魔枪士)战戟猛攻
sprite_character_demoniclancer_effect_normalatk.NPK,(魔枪士)狂暴战戟
sprite_character_demoniclancer_effect_lungestrike.NPK,(魔枪士)长虹贯日
sprite_character_demoniclancer_effect_anklecut.NPK,(魔枪士)扫堂枪
sprite_character_demoniclancer_effect_auraforcejavelin.NPK,(魔枪士)流云幻灭
sprite_character_demoniclancer_effect_auralance.NPK,(魔枪士)无双枪术
sprite_character_demoniclancer_effect_chainlance.NPK,(魔枪士)无谓波动枪
sprite_character_demoniclancer_effect_crescent.NPK,(魔枪士)三一斩月
sprite_character_demoniclancer_effect_demoniclancecontrol.NPK,(魔枪士)特效
sprite_character_demoniclancer_effect_extremekillarts.NPK,(魔枪士)极影无形杀
sprite_character_demoniclancer_effect_ghost.NPK,(魔枪士)攻城失败雕塑
sprite_character_demoniclancer_effect_groundseeker.NPK,(魔枪士)行云：疾
sprite_character_demoniclancer_effect_helmshot.NPK,(魔枪士)枪挑
sprite_character_demoniclancer_effect_hookthrow.NPK,(魔枪士)回旋钩
sprite_character_demoniclancer_effect_indure.NPK,(魔枪士)格挡反击
sprite_character_demoniclancer_effect_mesocyclone.NPK,(魔枪士)狂龙怒啸
sprite_character_demoniclancer_effect_miragestance.NPK,(魔枪士)行云决特效
sprite_character_demoniclancer_effect_mystflare.NPK,(魔枪士)极影无形杀
sprite_character_demoniclancer_effect_paratrooper.NPK,(魔枪士)落凤枪
sprite_character_demoniclancer_effect_pinpointslash.NPK,(魔枪士)夺命雷霆枪
sprite_character_demoniclancer_effect_quickpunto.NPK,(魔枪士)刺击
sprite_character_demoniclancer_effect_risinglancer.NPK,(魔枪士)行云：落
sprite_character_demoniclancer_effect_rollingvulkan.NPK,(魔枪士)烽火燎原
sprite_character_demoniclancer_effect_skytooth.NPK,(魔枪士)升龙破空枪
sprite_character_demoniclancer_effect_spiralcharge.NPK,(魔枪士)旋风枪特效
sprite_character_demoniclancer_effect_sturm.NPK,(魔枪士)旋风枪
sprite_character_demoniclancer_effect_surroundbreak.NPK,(魔枪士)连环枪
sprite_character_demoniclancer_effect_swirlingspear.NPK,(魔枪士)行云：风
sprite_character_demoniclancer_effect_taserdrive.NPK,(魔枪士)无双突刺
sprite_character_demoniclancer_effect_twinpunto.NPK,(魔枪士)双重刺击
sprite_character_demoniclancer_effect_mystflare.NPK,(魔枪士)流光无影闪
sprite_character_demoniclancer_effect_molehunt.NPK,(魔枪士)隐鼠袭杀
sprite_character_demoniclancer_effect_servantlance.NPK,(魔枪士)职业特征
sprite_character_demoniclancer_effect_huntersmoveset.NPK,(魔枪士)普攻
sprite_character_demoniclancer_effect_buffalofall,(魔枪士)猎杀枪
sprite_character_demoniclancer_effect_needler.NPK,(魔枪士)光焰飞枪
sprite_character_demoniclancer_effect_buffalofall.NPK,(魔枪士)蛮横冲撞
sprite_character_demoniclancer_effect_burnlocust.NPK,(魔枪士)猎杀枪·掠食
sprite_character_demoniclancer_effect_servantlanceassult.NPK,(魔枪士)猎杀枪·掠食（阵）
sprite_character_fighter_effect_atfinalextremestrike.NPK,(魔枪士)猎杀枪·掠食·调用文件（同，一字传承·极义震天破）
sprite_character_swordman_effect_atbreaksworddance.NPK,(魔枪士)猎杀枪·掠食·调用文件（同，极驭剑术：破剑阵）
sprite_character_demoniclancer_effect_manaextract,(魔枪士)能量萃取（BUFF）
sprite_character_demoniclancer_effect_stringwing.NPK,(魔枪士)光焰枪
sprite_character_demoniclancer_effect_needler.NPK,(魔枪士)猎杀枪·穿心·调用文件（同，光焰飞枪）
sprite_character_demoniclancer_effect_engager.NPK,(魔枪士)猎杀枪·穿心
sprite_character_demoniclancer_effect_burnlocust.NPK,(魔枪士)利刃收割（同，猎杀枪·掠食）
sprite_character_demoniclancer_effect_lambfence.NPK,(魔枪士)光焰囚杀
sprite_character_fighter_effect_legsuplexex.NPK,(魔枪士)光焰囚杀·调用文件（同，空绞连锤）
sprite_character_priest_effect_atomicchopper.NPK,(魔枪士)光焰囚杀·调用文件（同女圣职者某技能，暂不确定）
sprite_character_demoniclancer_effect_penetratehead.NPK,(魔枪士)鹰坠
sprite_character_mage_effect_broomspin.NPK,(魔枪士)鹰坠·调用文件（同，旋转扫把）
sprite_character_demoniclancer_effect_dragonslayer.NPK,(魔枪士)鹰坠·调用文件（同，逐云灭龙杀）
sprite_character_demoniclancer_effect_scalegrinder.NPK,(魔枪士)龙鳞碎割
sprite_character_demoniclancer_effect_dragonslayer.NPK,(魔枪士)逐云灭龙杀
sprite_character_demoniclancer_effect_servantlanceassult.NPK,(魔枪士)逐云灭龙杀·调用文件（同·猎杀枪·掠食）
sprite_character_demoniclancer_effect_partisanskewer.NPK,(魔枪士)天龙破
sprite_character_demoniclancer_effect_earthwormhunt.NPK,(魔枪士)地龙狩
sprite_character_demoniclancer_effect_lightningstriketrap.NPK,(魔枪士)地龙封魔杀
sprite_character_demoniclancer_effect_grinderjet.NPK,(魔枪士)无尽杀戮
sprite_character_demoniclancer_effect_scalegrinder.NPK,(魔枪士)无尽杀戮·调用文件（同·猎杀枪·掠食）
sprite_character_demoniclancer_effect_deathcharge.NPK,(魔枪士)绝命猎杀·死亡穿刺
sprite_character_demoniclancer_effect_darkambition.NPK,(魔枪士)侵蚀之矛
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)双重投射
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)双重投射·调用文件
sprite_character_demoniclancer_effect_helixspear.NPK,(魔枪士)暗矛投射（同暗蚀螺旋枪文件）
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)暗矛投射·调用文件
sprite_character_demoniclancer_effect_despair.NPK,(魔枪士)黑暗枪雨
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)黑暗枪雨·调用文件
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)黑暗枪雨·调用文件
sprite_character_demoniclancer_effect_piercingdrive.NPK,(魔枪士)暗矛贯穿
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)暗矛贯穿·调用文件
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)暗矛贯穿·调用文件
sprite_character_demoniclancer_effect_darkness.NPK,(魔枪士)黑暗化身
sprite_character_demoniclancer_effect_darkburial.NPK,(魔枪士)黑蚀葬礼
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)黑蚀葬礼·调用文件
sprite_character_demoniclancer_effect_encroach.NPK,(魔枪士)黑蚀葬礼·调用文件
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)黑蚀葬礼·调用文件
sprite_character_demoniclancer_effect_helixspear.NPK,(魔枪士)暗蚀螺旋枪
sprite_character_demoniclancer_effect_spiralrush.NPK,(魔枪士)暗蚀螺旋枪·调用文件
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)暗蚀螺旋枪·调用文件
sprite_character_demoniclancer_effect_diffusion.NPK,(魔枪士)连锁侵蚀
sprite_character_swordman_effect_atgigablade.NPK,(魔枪士)连锁侵蚀·调用文件
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)连锁侵蚀·调用文件
sprite_character_swordman_effect_descentsoul.NPK,(魔枪士)连锁侵蚀·调用文件
sprite_character_demoniclancer_effect_darkstar.NPK,(魔枪士)坠蚀之雨
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)坠蚀之雨·调用文件
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)坠蚀之雨·调用文件
sprite_character_knight_effect_weepingwave.NPK,(魔枪士)坠蚀之雨·调用文件
sprite_character_demoniclancer_effect_darkexplosionofmeat.NPK,(魔枪士)暗蚀暴雷杀
sprite_character_demoniclancer_effect_doublethrow.NPK,(魔枪士)暗蚀暴雷杀·调用文件
sprite_character_demoniclancer_effect_piercingdrive.NPK,(魔枪士)暗蚀暴雷杀·调用文件
sprite_character_mage_effect_ramos.NPK,(魔枪士)暗蚀暴雷杀·调用文件
sprite_character_demoniclancer_effect_helixspear.NPK,(魔枪士)暗蚀暴雷杀·调用文件
sprite_character_mage_effect_atpositron.NPK,(魔枪士)暗蚀暴雷杀·调用文件
sprite_character_demoniclancer_effect_darkspearsuccessivethrowing.NPK,(魔枪士)无尽侵蚀：缚魂
sprite_character_demoniclancer_effect_encroach.NPK,(魔枪士)无尽侵蚀：缚魂·调用文件
sprite_character_swordman_effect_atdeadlycape.NPK,(魔枪士)无尽侵蚀：缚魂·调用文件
sprite_character_swordman_effect_atbuckshot.NPK,(魔枪士)无尽侵蚀：缚魂·调用文件
sprite_character_demoniclancer_effect_piercingdrive.NPK,(魔枪士)无尽侵蚀：缚魂·调用文件
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)无尽侵蚀：缚魂·调用文件
sprite_character_demoniclancer_effect_darkdivision.NPK,(魔枪士)暗影蚀魂
sprite_character_demoniclancer_effect_darkburial.NPK,(魔枪士)暗影蚀魂·调用文件
sprite_character_demoniclancer_effect_encroach.NPK,(魔枪士)暗影蚀魂·调用文件
sprite_character_demoniclancer_effect_darknessontheabyss.NPK,(魔枪士)黑暗本源
sprite_character_demoniclancer_effect_darkambition.NPK,(魔枪士)黑暗本源·调用文件
sprite_character_demoniclancer_effect_fallingdeath.NPK,(魔枪士)冥夜裂空
sprite_character_demoniclancer_effect_scalegrinder.NPK,(魔枪士)冥夜裂空·调用文件
sprite_character_demoniclancer_effect_darknessontheabyss.NPK,(魔枪士)冥夜裂空·调用文件
sprite_character_demoniclancer_effect_encroach.NPK,(魔枪士)冥夜裂空·调用文件
sprite_character_demoniclancer_effect_spearmanship.NPK,(魔枪士)冥夜裂空·调用文件
sprite_character_demoniclancer_effect_violentpierce.NPK,黑蚀酷刑
sprite_character_demoniclancer_effect_doublethrow.NPK,黑蚀酷刑·调用文件
sprite_character_demoniclancer_effect_darkzone.NPK,冥蚀脉冲
sprite_character_demoniclancer_effect_encroach.NPK,冥蚀脉冲·调用文件
sprite_character_knight_effect_judgementcall.NPK,冥蚀脉冲·调用文件
sprite_character_demoniclancer_effect_spearmanship.NPK,冥蚀脉冲·调用文件
sprite_character_demoniclancer_effect_destroylight.NPK,幽影暗蚀：寂灭
sprite_character_demoniclancer_effect_darkdivision.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_demoniclancer_effect_encroach.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_demoniclancer_effect_darkspearsuccessivethrowing.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_swordman_effect_atg_eater.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_demoniclancer_effect_darkburial.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_swordman_effect_atragnarok.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_demoniclancer_effect_spearmanship.NPK,幽影暗蚀：寂灭·调用文件
sprite_character_knight_equipment_avatar_belt.NPK,(守护者)腰部
sprite_character_knight_equipment_avatar_coat.NPK,(守护者)上衣,
sprite_character_knight_equipment_avatar_cap.NPK,(守护者)帽子
sprite_character_knight_equipment_avatar_face.NPK,(守护者)脸部
sprite_character_knight_equipment_avatar_hair.NPK,(守护者)头发
sprite_character_knight_equipment_avatar_neck.NPK,(守护者)胸部
sprite_character_knight_equipment_avatar_pants.NPK,(守护者)裤子
sprite_character_knight_equipment_avatar_shoes.NPK,(守护者)鞋子
sprite_character_knight_equipment_avatar_skin.NPK,(守护者)皮肤
